Count,synonyms,tagName
"2259229","javascript-disabled,javascript-library,javascript-runtime,vanilla-javascript,javascript-module,vanilla-js,vanillajs,js,.js,ecmascript,javascript-execution,classic-javascript,javascript-alert,javascript-dom","javascript"
"1794029","openjdk,oraclejdk,java-libraries,java-api,javax,java-se,j2se,core-java,.java,jdk,jre","java"
"1780756","py,python-interpreter,python-shell,pythonic","python"
"1493780","c#-language,c#.net,c-sharp,visual-c#,csharp,.cs-file","c#"
"1412089","php-oop,hypertext-preprocessor,php-frameworks,php-date,php5,php.ini,php-cli,php-mail,php-errors,php-readfile,php-functions,php-cgi,php-session,php-namespaces,php-fpm,php-include,phtml","php"
"1345673","android-framework,android-ui,android-application,android-mobile,android-sdk,android-device,android-api","android"
"1086555","webpage,html5,time-tag,html-head,html-tag,html-attributes,html-comments,span,div,divs,nested-divs,div-layouts","html"
"1016284","jquery-filter,jquery-effects,addclass,jquery-css,jquery-hasclass,jquery-find,jquery-callback,jquery-get,jquery-post,jquery-after,toggleclass,removeclass,jquery-live,jquery-core","jquery"
"734762","cxx,cpp","c++"
"729004","css-inheritance,css2,css-columns,css-validation,box-model,min-height,min-width,max-height,max-width,css-centering,css-display,style.css-template-file,css-attributes,css-height,css-classes,cascading-style-sheet,css-layout,css-background-image,css-borders,dynamic-css,css-font-weight,css-reset,css-menu,font-weight,inline-block,css-box-model,alternate-stylesheets,css-overflow,css-line-height,css-border-image,css-border-radius,css-box-shadow,css-text-shadow,css3,css-text-overflow,box-sizing,box-shadow","css"
"659926","apple-ios,iphone-os,ios-sdk","ios"
"630294","mysql-query,my-sql,mysql-server,mysql-table,mysqld,mysqlclient,mysqldump,mysql-if,mysqlsh","mysql"
"601600","sql-statement,sql-query,sqlselect,sql-select,sql-syntax,select-statement","sql"
"415751","r-language,rstats","r"
"398787","nodejs,io.js","node.js"
"370609","arraycopy,static-array,bytearray,swift-array,sub-arrays,character-arrays,mongodb-arrays,jsonarray,string-array,char-array,array-of-objects,javascript-array,array","arrays"
"364221","asp-net,aspx,aspdotnet,asp.net-website","asp.net"
"363425","","c"
"327767","rails,ror","ruby-on-rails"
"325675","react.js,react-jsx,react","reactjs"
"324167","json-parsing,json-encode,json-decode,jsonobject","json"
"310446","dot-net,dotnet,.net-framework",".net"
"307938","mssql,ms-sql-server,sql-srever","sql-server"
"300957","swift-language,swift-ios,swift1.2","swift"
"292654","python3,python-3,py3k,python3k,py3","python-3.x"
"291876","objc","objective-c"
"273299","","django"
"262230","angular1.x,angular.js","angularjs"
"260013","angularjs2,angular2,angular4,angular4.x","angular"
"250331","ms-excel,workbook,excel-macro","excel"
"243166","apache-regexp,regex-php,perl-regex,regularexpression,perlre,regexes,regexp,regular-expression,regular-expressions","regex"
"221171","iphone-web,iphone-development,iphone-app,iphone-sdk,iphone-programming,iphone-ios","iphone"
"220612","","ruby"
"216887","ajax-request,.ajax","ajax"
"212614","","pandas"
"207600","","linux"
"203699","xml-file","xml"
"195378","aspnet.mvc,aspnet-mvc,asp-mvc,asp.net.mvc,asp-net-mvc,asp.mvc,mvc.net","asp.net-mvc"
"190993","visual-basic-applications,vba-macros,macros-vba","vba"
"187821","spring-framework,spring-config,spring-java-config","spring"
"180588","dbms,database-structure,db,databases","database"
"179464","","laravel"
